title	label1	label2	label3
The Hunger Games (The Hunger Games, #1)	young-adult	fiction	dystopia
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	fantasy	young-adult	fiction
Twilight (Twilight, #1)	young-adult	fantasy	vampires
To Kill a Mockingbird	classics	historical-fiction	school
The Great Gatsby	classics	fiction	literature
The Fault in Our Stars	young-adult	fiction	romance
The Hobbit	fantasy	classics	fiction
The Catcher in the Rye	classics	fiction	young-adult
Angels & Demons  (Robert Langdon, #1)	fiction	mystery	thriller
Pride and Prejudice	classics	fiction	romance
The Kite Runner	fiction	historical-fiction	contemporary
Divergent (Divergent, #1)	young-adult	fiction	fantasy
1984	fiction	science-fiction	literature
Animal Farm	classics	fiction	dystopia
The Diary of a Young Girl	non-fiction	classics	history
The Girl with the Dragon Tattoo (Millennium, #1)	fiction	mystery	thriller
Catching Fire (The Hunger Games, #2)	young-adult	dystopia	fantasy
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	fantasy	young-adult	fiction
The Fellowship of the Ring (The Lord of the Rings, #1)	fantasy	classics	fiction
Mockingjay (The Hunger Games, #3)	young-adult	fiction	dystopia
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	fantasy	fiction	young-adult
The Lovely Bones	fiction	mystery	young-adult
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	fantasy	young-adult	fiction
Harry Potter and the Goblet of Fire (Harry Potter, #4)	fantasy	young-adult	fiction
Harry Potter and the Deathly Hallows (Harry Potter, #7)	fantasy	young-adult	fiction
The Da Vinci Code (Robert Langdon, #2)	fiction	thriller	suspense
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	fantasy	young-adult	fiction
Lord of the Flies	classics	fiction	young-adult
Romeo and Juliet	classics	plays	fiction
Gone Girl	mystery	crime	fiction
The Help	fiction	historical-fiction	historical
Of Mice and Men	classics	fiction	school
Memoirs of a Geisha	fiction	historical-fiction	romance
Fifty Shades of Grey (Fifty Shades, #1)	romance	fiction	abandoned
The Alchemist	fiction	classics	fantasy
The Giver (The Giver, #1)	fiction	classics	teen
The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)	fantasy	classics	fiction
The Time Traveler's Wife	fiction	romance	fantasy
A Game of Thrones (A Song of Ice and Fire, #1)	fiction	epic-fantasy	fantasy
Eat, Pray, Love	non-fiction	memoir	travel
The Lightning Thief (Percy Jackson and the Olympians, #1)	fantasy	young-adult	mythology
Little Women (Little Women, #1)	classics	fiction	young-adult
Jane Eyre	literature	gothic	historical
The Notebook (The Notebook, #1)	fiction	chick-lit	romance
Life of Pi	fantasy	adventure	classics
Water for Elephants	fiction	historical-fiction	romance
The Book Thief	historical-fiction	fiction	young-adult
Fahrenheit 451	classics	fiction	science-fiction
New Moon (Twilight, #2)	young-adult	fantasy	romance
Where the Sidewalk Ends	poetry	childrens	classics
City of Bones (The Mortal Instruments, #1)	young-adult	paranormal	romance
Eclipse (Twilight, #3)	young-adult	fantasy	romance
Eragon (The Inheritance Cycle, #1)	fantasy	young-adult	fiction
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	science-fiction	fiction	humor
Brave New World	classics	fiction	science-fiction
Breaking Dawn (Twilight, #4)	fantasy	young-adult	contemporary
The Secret Life of Bees	fiction	historical-fiction	young-adult
The Adventures of Huckleberry Finn	classics	fiction	historical-fiction
Charlotte's Web	classics	childrens	fiction
The Curious Incident of the Dog in the Night-Time	fiction	young-adult	classics
The Girl on the Train	mystery	fiction	thriller
The Golden Compass (His Dark Materials, #1)	fantasy	young-adult	fiction
Wuthering Heights	classics	fiction	romance
My Sister's Keeper	fiction	contemporary	chick-lit
Slaughterhouse-Five	classics	fiction	science-fiction
Gone with the Wind	classics	historical-fiction	fiction
A Thousand Splendid Suns	fiction	historical-fiction	contemporary
The Perks of Being a Wallflower	fiction	contemporary	coming-of-age
Insurgent (Divergent, #2)	young-adult	dystopia	fiction
Ender's Game (Ender's Saga, #1)	science-fiction	fiction	young-adult
Frankenstein	classics	fiction	horror
The Shining (The Shining #1)	fiction	fantasy	mystery
The Host (The Host, #1)	science-fiction	fiction	dystopia
Looking for Alaska	young-adult	fiction	contemporary
Bridget Jones's Diary (Bridget Jones, #1)	chick-lit	fiction	romance
Sense and Sensibility	fiction	historical-fiction	literature
Holes (Holes, #1)	young-adult	fiction	childrens
The Devil Wears Prada (The Devil Wears Prada, #1)	chick-lit	fiction	contemporary
The Odyssey	classics	fiction	poetry
The Little Prince	fantasy	childrens	young-adult
The Glass Castle	non-fiction	memoir	biography
Into the Wild	non-fiction	biography	adventure
A Tale of Two Cities	classics	fiction	historical-fiction
Jurassic Park (Jurassic Park, #1)	science-fiction	fiction	thriller
The Giving Tree	childrens	classics	picture-books
A Time to Kill	fiction	mystery	thriller
Night (The Night Trilogy #1)	non-fiction	classics	history
Paper Towns	young-adult	contemporary	fiction
The Princess Bride 	adult-fiction	historical-fiction	childrens
The Outsiders	fiction	classics	school
The Maze Runner (Maze Runner, #1)	young-adult	dystopia	science-fiction
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)	science	non-fiction	psychology
The Secret Garden	classics	fiction	childrens
One Hundred Years of Solitude	classics	literature	novels
The Picture of Dorian Gray	classics	fiction	horror
Fifty Shades Freed (Fifty Shades, #3)	erotica	fiction	bdsm
Dracula	classics	horror	fiction
The Girl Who Played with Fire (Millennium, #2)	fiction	mystery	crime
Fifty Shades Darker (Fifty Shades, #2)	romance	dark	fiction
The Poisonwood Bible	historical-fiction	fiction	classics
Me Talk Pretty One Day	humor	non-fiction	memoir
Where the Wild Things Are	childrens	picture-books	fiction
The Count of Monte Cristo	classics	fiction	historical-fiction
The Road	science-fiction	dystopia	fiction
Allegiant (Divergent, #3)	young-adult	dystopia	fiction
Bossypants	non-fiction	humor	memoir
A Walk to Remember	adult	drama	adult-fiction
Confessions of a Shopaholic (Shopaholic, #1)	funny	adult-fiction	contemporary-romance
Les Misérables	classics	fiction	historical-fiction
A Clash of Kings  (A Song of Ice and Fire, #2)	fantasy	fiction	epic-fantasy
The Memory Keeper's Daughter	fiction	contemporary	adult-fiction
Me Before You (Me Before You, #1)	romance	fiction	love
Catch-22	classics	fiction	war
Tuesdays with Morrie	non-fiction	fiction	memoir
Middlesex	fiction	historical-fiction	contemporary
The Adventures of Tom Sawyer	classics	fiction	adventure
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	fantasy	young-adult	fiction
The Joy Luck Club	classics	china	fiction
The Handmaid's Tale	fiction	classics	dystopia
The Sisterhood of the Traveling Pants (Sisterhood, #1)	young-adult	fiction	chick-lit
Lolita	literature	fiction	classics
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	adult	abandoned	adult-fiction
The Firm (Penguin Readers, Level 5)	fiction	thriller	mystery
Room	fiction	contemporary	adult
Hamlet	classics	plays	fiction
Dune (Dune Chronicles #1)	science-fiction	fiction	fantasy
The Tipping Point: How Little Things Can Make a Big Difference	non-fiction	business	psychology
Steve Jobs	biography	non-fiction	business
One Flew Over the Cuckoo's Nest	classics	fiction	literature
The Old Man and the Sea	classics	fiction	literature
The Grapes of Wrath	classics	fiction	historical-fiction
The Five People You Meet in Heaven	fiction	christian	literature
Anne of Green Gables (Anne of Green Gables, #1)	fiction	young-adult	childrens
City of Glass (The Mortal Instruments, #3)	fantasy	young-adult	paranormal
A Storm of Swords (A Song of Ice and Fire, #3)	fantasy	fiction	epic-fantasy
Divine Secrets of the Ya-Ya Sisterhood	fiction	chick-lit	contemporary
Outlander (Outlander, #1)	historical-fiction	romance	fantasy
The Scarlet Letter	school	literature	read-for-school
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)	fantasy	young-adult	fiction
The Girl Who Kicked the Hornet's Nest (Millennium, #3)	fiction	mystery	thriller
The Martian	adventure	science	adult
The Pillars of the Earth (The Kingsbridge Series, #1)	historical-fiction	fiction	historical
All the Light We Cannot See	historical-fiction	fiction	historical
Unbroken: A World War II Story of Survival, Resilience, and Redemption	non-fiction	history	biography
Deception Point	fiction	thriller	mystery
The Goldfinch	fiction	contemporary	literary-fiction
Thirteen Reasons Why	realistic-fiction	young-adult	teen
Girl with a Pearl Earring	historical-fiction	fiction	historical
If I Stay (If I Stay, #1)	young-adult	romance	contemporary
The Red Tent	historical-fiction	history	fiction
The Sea of Monsters (Percy Jackson and the Olympians, #2)	fantasy	young-adult	mythology
Dear John	romance	fiction	chick-lit
City of Ashes (The Mortal Instruments, #2)	fantasy	young-adult	paranormal
Macbeth	plays	fiction	school
The Two Towers (The Lord of the Rings, #2)	fantasy	classics	fiction
Something Borrowed (Darcy & Rachel, #1)	chick-lit	romance	fiction
Green Eggs and Ham	childrens	picture-books	classics
Charlie and the Chocolate Factory (Charlie Bucket, #1)	fiction	young-adult	middle-grade
The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)	fantasy	young-adult	mythology
Great Expectations	classics	fiction	literature
The Return of the King (The Lord of the Rings, #3)	fantasy	fiction	classics
The Stranger	classics	fiction	philosophy
The Lost Hero (The Heroes of Olympus, #1)	fantasy	young-adult	mythology
Eleanor & Park	young-adult	romance	contemporary
A Feast for Crows (A Song of Ice and Fire, #4)	fantasy	fiction	epic-fantasy
Matched (Matched, #1)	young-adult	dystopia	romance
American Gods (American Gods, #1)	fantasy	fiction	urban-fantasy
The Stand	horror	fiction	fantasy
The Last Song	romance	fiction	chick-lit
Digital Fortress	fiction	thriller	mystery
Emma	classics	fiction	romance
Anna Karenina	classics	fiction	romance
A Clockwork Orange	literature	classics	fiction
The Shack	fiction	christian	christian-fiction
The Last Olympian (Percy Jackson and the Olympians, #5)	fantasy	young-adult	mythology
It	horror	fiction	fantasy
Crime and Punishment	fiction	literature	russian-literature
The Bell Jar	classics	fiction	feminism
Angela's Ashes (Frank McCourt, #1)	non-fiction	memoir	biography
Siddhartha	classics	fiction	philosophy
In Cold Blood	non-fiction	classics	true-crime
Beautiful Creatures (Caster Chronicles, #1)	young-adult	fantasy	paranormal
Clockwork Angel (The Infernal Devices, #1)	fantasy	young-adult	paranormal
Matilda	young-adult	humor	magic
The Night Circus	fantasy	fiction	romance
The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)	historical-fiction	fiction	historical
Uglies (Uglies, #1)	young-adult	dystopia	science-fiction
A Dance with Dragons (A Song of Ice and Fire, #5)	fantasy	fiction	epic-fantasy
The Lord of the Rings (The Lord of the Rings, #1-3)	fantasy	classics	fiction
Wild: From Lost to Found on the Pacific Crest Trail	non-fiction	memoir	travel
Watchmen	graphic-novels	fiction	fantasy
The Name of the Wind (The Kingkiller Chronicle, #1)	fantasy	fiction	epic-fantasy
Outliers: The Story of Success	psychology	non-fiction	economics
Moby-Dick or, The Whale	classics	fiction	literature
The Guernsey Literary and Potato Peel Pie Society	historical-fiction	fiction	historical
Fight Club	fiction	contemporary	classics
Dead Until Dark (Sookie Stackhouse, #1)	fantasy	vampires	paranormal
The Color Purple	fiction	historical-fiction	lgbt
Marley and Me: Life and Love With the World's Worst Dog	non-fiction	memoir	animals
And Then There Were None	mystery	classics	fiction
The Lost Symbol (Robert Langdon, #3)	fiction	mystery	thriller
Hush, Hush (Hush, Hush, #1)	young-adult	fantasy	angels
Beautiful Disaster (Beautiful, #1)	romance	new-adult	contemporary
A Christmas Carol	classics	fiction	christmas
Interview with the Vampire (The Vampire Chronicles, #1)	fantasy	horror	fiction
The Selection (The Selection, #1)	young-adult	romance	dystopia
One for the Money (Stephanie Plum, #1)	mystery	fiction	chick-lit
The Immortal Life of Henrietta Lacks	non-fiction	science	biography
The Silence of the Lambs  (Hannibal Lecter, #2)	horror	fiction	thriller
Vampire Academy (Vampire Academy, #1)	teen	boarding-school	contemporary
Blink: The Power of Thinking Without Thinking	non-fiction	psychology	business
Atonement	historical-fiction	romance	classics
The Metamorphosis	classics	fiction	fantasy
The Titan's Curse (Percy Jackson and the Olympians, #3)	fantasy	young-adult	mythology
Ready Player One	science-fiction	fiction	dystopia
The Art of Racing in the Rain	fiction	animals	dogs
The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America	non-fiction	history	true-crime
Bared to You (Crossfire, #1)	romance	erotica	contemporary
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	christian-fiction	magic	religion
Twilight: The Complete Illustrated Movie Companion	vampires	young-adult	fantasy
"A Child Called ""It"" (Dave Pelzer #1)"	memoir	non-fiction	psychology
The Bourne Identity (Jason Bourne, #1)	fiction	thriller	mystery
Artemis Fowl (Artemis Fowl, #1)	fantasy	young-adult	fiction
Fallen (Fallen, #1)	young-adult	fantasy	angels
East of Eden	classics	fiction	historical-fiction
Dark Places	mystery	fiction	thriller
The Client	fiction	mystery	thriller
The Nanny Diaries (Nanny, #1)	chick-lit	fiction	contemporary
Alice's Adventures in Wonderland & Through the Looking-Glass	classics	fantasy	fiction
Persuasion	classics	fiction	romance
Sarah's Key	historical-fiction	fiction	holocaust
The Gunslinger (The Dark Tower, #1)	fantasy	fiction	horror
Love in the Time of Cholera	historical-fiction	novels	fiction
Speak	young-adult	fiction	contemporary
The Husband's Secret	mystery	adult	adult-fiction
